a_name,a_alt_name,a_ra,a_dec,a_redshift,a_lx_500,a_mass_500,a_radius_500,b_name,b_science_case,b_ra,b_dec,b_z,b_l,b_b,_delta_ba
MCXC J0257.6-2209,MACS J0257.6-2209,02 57 41.3,-22 09 14,0.322,6.23e+44,588000000000000.0,1.14,MACSJ0257d6m2209,Exotic Lens,02 57 41.1,-22 09 18,0.32,210.0714,-60.9629,0.0816
MCXC J0417.5-1154,MACS J0417.5-1154,04 17 34.3,-11 54 27,0.443,2.91e+45,2210000000000000.0,1.69,MACSJ0417d5m1154,"Merging Clusters, Exotic Lens",04 17 37.0,-11 53 45,0.44,205.9359,-39.4641,0.9612
MCXC J0429.5-0253,MACS J0429.6-0253,04 29 36.0,-02 53 06,0.399,1.05e+45,609000000000000.0,1.12,MACSJ0429d6m0253,Merging Clusters,04 29 36.0,-02 53 08,0.4,197.8388,-32.5889,0.0306
MCXC J0451.9+0006,MACS J0451.9+0006,04 51 54.4,00 06 19,0.43,6.75e+44,410000000000000.0,0.97,MACSJ0451d9p0006,Merging Clusters,04 51 55.0,00 06 15,0.43,198.1508,-26.267,0.1622
MCXC J0520.7-1328,MACS J0520.7-1328,05 20 42.2,-13 28 47,0.336,7.9e+44,630000000000000.0,1.16,MACSJ0520d7m1328,Exotic Lens,05 20 42.0,-13 28 50,0.34,215.2591,-26.1084,0.0717
MCXC J0949.8+1707,RXC J0949.8+1707,09 49 52.8,17 07 47,0.3826,1.47e+45,790000000000000.0,1.2295,MACSJ0949d8p1708,Exotic Lens,09 49 50.9,17 07 15,0.38,216.6312,47.0105,0.7004
MCXC J1115.8+0129,RXC J1115.8+0129,11 15 54.0,01 29 44,0.3499,1.23e+45,727000000000000.0,1.2108,MACSJ1115d9p0129,Merging Clusters,11 15 52.0,01 29 57,0.35,257.1133,55.6261,0.5469
MCXC J1206.2-0848,RXC J1206.2-0848,12 06 12.5,-08 48 22,0.4414,1.76e+45,840000000000000.0,1.2266,MACSJ1206d2m0847,"Merging Clusters, Exotic Lens",12 06 12.0,-08 48 02,0.44,284.3968,52.4357,0.3586
MCXC J1311.0-0310,MACS J1311.0-0310,13 11 01.9,-03 10 36,0.494,7.24e+44,415000000000000.0,0.95,MACSJ1311d0m0310,Merging Clusters,13 11 02.0,-03 10 40,0.49,312.5537,59.3275,0.0661
MCXC J1931.8-2634,MACS J1931.8-2634,19 31 49.7,-26 34 33,0.352,1.96e+45,592000000000000.0,1.13,MACSJ1931d8m2635,Merging Clusters,19 31 50.0,-26 34 34,0.35,12.577,-20.0944,0.0672
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MACSJ2140d2m2339,Merging Clusters,21 40 15.0,-23 39 46,0.31,26.4873,-46.9369,0.1058
MCXC J2243.3-0935,MACS J2243.3-0935,22 43 21.4,-09 35 43,0.447,1.52e+45,1740000000000000.0,1.56,MACSJ2243d3m0935,Merging Clusters,22 43 20.0,-09 35 30,0.45,56.9393,-55.0815,0.4113
MCXC J1010.5-1239,MS1008.1-1224,10 10 32.2,-12 39 55,0.3062,2.47e+44,284000000000000.0,0.8996,MS1008d1m1224,Merging Clusters,10 10 24.0,-12 38 38,0.31,253.2093,34.256,2.3843
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MS2137m2353,Merging Clusters,21 40 15.0,-23 39 41,0.31,26.4893,-46.9366,0.0472
MCXC J0303.7-7752,RXC J0303.7-7752,03 03 46.4,-77 52 09,0.2742,6.34e+44,517000000000000.0,1.1117,PSZ2G294d68m37d01,Merging Clusters,03 03 57.8,-77 54 12,0.27,294.6844,-37.0165,2.1284
MCXC J0528.9-3927,RXC J0528.9-3927,05 28 56.3,-39 27 46,0.2839,1.2e+45,755000000000000.0,1.2568,RBS653,Merging Clusters,05 28 53.0,-39 28 20,0.29,244.3754,-32.1423,0.8528
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.04e+45,1040000000000000.0,1.3902,repeat_1E0657_Bullet,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,0.5749
MCXC J2152.4-1933,RXC J2152.4-1933,21 52 24.0,-19 33 54,0.0943,1.66e+44,261000000000000.0,0.9433,repeat_Abell2384a,Merging Clusters,21 52 21.8,-19 32 44,0.094,33.5641,-48.4169,1.281
MCXC J2152.2-1942,RXC J2152.2-1942,21 52 14.2,-19 42 20,0.0963,9.62e+43,187000000000000.0,0.8431,repeat_Abell2384b,Merging Clusters,21 52 08.5,-19 43 48,0.094,33.2755,-48.428,1.9962
MCXC J0220.9-3829,RXC J0220.9-3829,02 20 56.6,-38 29 05,0.228,4.48e+44,433000000000000.0,1.066,RXCJ0220d9m3829,Merging Clusters,02 20 57.0,-38 28 48,0.23,249.8249,-68.1205,0.2939
MCXC J0232.2-4420,RXC J0232.2-4420,02 32 16.8,-44 20 51,0.2836,8.5e+44,613000000000000.0,1.1728,RXCJ0232d2m4420,Merging Clusters,02 32 18.0,-44 21 40,0.28,259.9925,-63.4414,0.8426
MCXC J0528.2-2942,RXC J0528.2-2942,05 28 15.4,-29 42 57,0.1582,2.3e+44,304000000000000.0,0.9708,RXCJ0528d2m2942,Merging Clusters,05 28 15.0,-29 43 03,0.16,233.2475,-30.0317,0.128
MCXC J1314.4-2515,RXC J1314.4-2515,13 14 28.0,-25 15 41,0.2439,9.89e+44,694000000000000.0,1.2401,RXCJ1314d4m2515,Merging Clusters,13 14 31.5,-25 15 57,0.25,309.4979,37.3115,0.8351
MCXC J1514.9-1523,RXC J1514.9-1523,15 14 58.0,-15 23 10,0.2226,6.43e+44,542000000000000.0,1.1511,RXCJ1514d9m1523,Merging Clusters,15 15 00.0,-15 21 23,0.22,346.6151,35.0659,1.8525
MCXC J1558.3-1410,RXC J1558.3-1410,15 58 23.2,-14 10 04,0.097,3.18e+44,387000000000000.0,1.0745,RXCJ1558d3m1410,Merging Clusters,15 58 22.0,-14 09 58,0.1,356.5149,28.6764,0.3115
MCXC J2003.5-2323,RXC J2003.5-2323,20 03 30.4,-23 23 05,0.3171,8.16e+44,583000000000000.0,1.1386,RXCJ2003d5m2323,Merging Clusters,20 03 32.0,-23 22 30,0.32,18.5643,-25.7015,0.6883
MCXC J2014.8-2430,RXC J2014.8-2430,20 14 49.7,-24 30 30,0.1612,9.46e+44,719000000000000.0,1.2922,RXCJ2014d9m2430,Merging Clusters,20 14 52.0,-24 30 22,0.15,18.335,-28.5199,0.5366
MCXC J2043.2-2144,RXC J2043.2-2144,20 43 12.6,-21 44 06,0.2041,3.9e+44,406000000000000.0,1.0518,RXCJ2043d2m2144,Merging Clusters,20 43 15.0,-21 44 34,0.2,23.8503,-33.8082,0.7239
MCXC J0437.1+0043,RXC J0437.1+0043,04 37 10.1,00 43 38,0.2842,8.09e+44,595000000000000.0,1.1608,RXJ0437d1p0043,"Merging Clusters, Exotic Lens",04 37 09.5,00 43 52,0.29,195.383,-29.0952,0.2731
MCXC J1347.5-1144,RXC J1347.5-1144,13 47 30.0,-11 44 56,0.4516,3.73e+45,1320000000000000.0,1.4195,RXJ1347d5m1145,Merging Clusters,13 47 31.0,-11 45 10,0.45,324.0397,48.8072,0.3321
MCXC J2248.7-4431,RXC J2248.7-4431,22 48 43.5,-44 31 44,0.3475,2.72e+45,1180000000000000.0,1.4256,RXJ2248d7m4431,Merging Clusters,22 48 44.0,-44 31 48,0.35,349.4803,-59.9339,0.1102
MCXC J2031.8-4037,RXC J2031.8-4037,20 31 51.5,-40 37 14,0.3416,1.04e+45,662000000000000.0,1.1775,SMACSJ2031d8m4036,Exotic Lens,20 31 53.3,-40 37 31,0.33,0.7426,-35.7019,0.4344
MCXC J1234.2+0947,RXC J1234.2+0947,12 34 16.0,09 47 01,0.229,3.568e+44,377000000000000.0,1.0173,ZwCL5247,Merging Clusters,12 34 25.1,09 47 33,0.23,289.0903,72.2054,2.3068
