wavelength,qe,qe_err
0.6984400000000001,0.6984400000000001,0.00718
0.69532,0.69532,0.00719
0.6922,0.6922,0.0072
0.6890700000000001,0.6890700000000001,0.00728
0.68594,0.68594,0.00736
0.68281,0.68281,0.0074399999999999996
0.6796800000000001,0.6796800000000001,0.00752
0.67655,0.67655,0.0076
0.67342,0.67342,0.00768
0.67029,0.67029,0.00776
0.6671600000000001,0.6671600000000001,0.00784
0.66403,0.66403,0.00792
0.6609,0.6609,0.008
0.65844,0.65844,0.00786
0.65598,0.65598,0.00772
0.65352,0.65352,0.00758
0.65106,0.65106,0.00744
0.6486000000000001,0.6486000000000001,0.0073
0.64614,0.64614,0.00716
0.64368,0.64368,0.00702
0.64122,0.64122,0.00688
0.63876,0.63876,0.00674
0.6363,0.6363,0.0066
0.6343099999999999,0.6343099999999999,0.00659
0.63232,0.63232,0.00658
0.63033,0.63033,0.0065699999999999995
0.62834,0.62834,0.00656
0.62635,0.62635,0.00655
0.6243599999999999,0.6243599999999999,0.00654
0.62237,0.62237,0.006529999999999999
0.6203799999999999,0.6203799999999999,0.00652
0.61839,0.61839,0.00651
0.6164,0.6164,0.0065
0.6126199999999999,0.6126199999999999,0.006529999999999999
0.6088399999999999,0.6088399999999999,0.00656
0.6050599999999999,0.6050599999999999,0.0065899999999999995
0.6012799999999999,0.6012799999999999,0.00662
0.5974999999999999,0.5974999999999999,0.00665
0.59372,0.59372,0.006679999999999999
0.58994,0.58994,0.00671
0.58616,0.58616,0.0067399999999999995
0.58238,0.58238,0.00677
0.5786,0.5786,0.0068
0.57662,0.57662,0.0068
0.57464,0.57464,0.0068
0.57266,0.57266,0.0068
0.57068,0.57068,0.0068
0.5687,0.5687,0.0068
0.56672,0.56672,0.0068
0.56474,0.56474,0.0068
0.5627599999999999,0.5627599999999999,0.0068
0.56078,0.56078,0.0068
0.5588,0.5588,0.0068
0.5559499999999999,0.5559499999999999,0.00677
0.5530999999999999,0.5530999999999999,0.0067399999999999995
0.55025,0.55025,0.00671
0.5474,0.5474,0.006679999999999999
0.54455,0.54455,0.00665
0.5417,0.5417,0.00662
0.5388499999999999,0.5388499999999999,0.0065899999999999995
0.536,0.536,0.00656
0.53315,0.53315,0.006529999999999999
0.5303,0.5303,0.0065
0.527,0.527,0.00645
0.5237,0.5237,0.0063999999999999994
0.5204,0.5204,0.00635
0.5171,0.5171,0.0063
0.5138,0.5138,0.00625
0.5105,0.5105,0.0062
0.5072,0.5072,0.00615
0.5039,0.5039,0.0061
0.5006,0.5006,0.00605
0.4973,0.4973,0.006
0.49574,0.49574,0.00592
0.49418,0.49418,0.00584
0.49262,0.49262,0.00576
0.49106,0.49106,0.00568
0.48950000000000005,0.48950000000000005,0.0056
0.48794000000000004,0.48794000000000004,0.00552
0.48638000000000003,0.48638000000000003,0.0054399999999999995
0.48482000000000003,0.48482000000000003,0.00536
0.48326,0.48326,0.00528
0.4817,0.4817,0.0052
0.4783,0.4783,0.00514
0.4749,0.4749,0.0050799999999999994
0.47150000000000003,0.47150000000000003,0.00502
0.4681,0.4681,0.00496
0.4647,0.4647,0.0049
0.4613,0.4613,0.00484
0.4579,0.4579,0.0047799999999999995
0.4545,0.4545,0.00472
0.4511,0.4511,0.00466
0.4477,0.4477,0.0046
0.44550999999999996,0.44550999999999996,0.0046099999999999995
0.44332,0.44332,0.00462
0.44113,0.44113,0.0046300000000000004
0.43894,0.43894,0.00464
0.43674999999999997,0.43674999999999997,0.00465
0.43456,0.43456,0.00466
0.43237000000000003,0.43237000000000003,0.0046700000000000005
0.43018,0.43018,0.00468
0.42799,0.42799,0.00469
0.4258,0.4258,0.0047
0.42336,0.42336,0.00462
0.42092,0.42092,0.00454
0.41848,0.41848,0.00446
0.41604,0.41604,0.00438
0.41359999999999997,0.41359999999999997,0.0043
0.41115999999999997,0.41115999999999997,0.00422
0.40871999999999997,0.40871999999999997,0.00414
0.40628,0.40628,0.00406
0.40384,0.40384,0.00398
0.4014,0.4014,0.0039
0.39805999999999997,0.39805999999999997,0.00392
